slug,winner,entered,side,price,t,predicted_ev,pnl_per_share,correct,threshold
btc-updown-5m-1776107100,Down,True,Up,0.44,30.0,0.040281593799591064,-0.44,False,0.000
btc-updown-5m-1776107400,Up,True,Up,0.5,30.0,0.015833863988518715,0.5,True,0.000
btc-updown-5m-1776107700,Up,True,Up,0.84,30.0,0.04085725545883179,0.16000000000000003,True,0.000
btc-updown-5m-1776108000,Up,True,Up,0.41,30.0,0.036895014345645905,0.5900000000000001,True,0.000
btc-updown-5m-1776108300,Up,True,Up,0.5,30.0,0.033937714993953705,0.5,True,0.000
btc-updown-5m-1776108600,Up,True,Up,0.59,30.0,0.01864960975944996,0.41000000000000003,True,0.000
btc-updown-5m-1776108900,Up,True,Up,0.28,30.0,0.06789873540401459,0.72,True,0.000
btc-updown-5m-1776109200,Down,True,Up,0.41,30.0,0.027703195810317993,-0.41,False,0.000
btc-updown-5m-1776109500,Up,True,Up,0.72,30.0,0.04525091499090195,0.28,True,0.000
btc-updown-5m-1776109800,Up,True,Up,0.52,30.0,0.01881924457848072,0.48,True,0.000
btc-updown-5m-1776110100,Down,True,Up,0.51,30.0,0.024029914289712906,-0.51,False,0.000
btc-updown-5m-1776110400,Down,True,Up,0.5,30.0,0.020461056381464005,-0.5,False,0.000
btc-updown-5m-1776110700,Down,True,Up,0.26,30.0,0.06412963569164276,-0.26,False,0.000
btc-updown-5m-1776111000,Down,True,Up,0.33,30.0,0.008532630279660225,-0.33,False,0.000
btc-updown-5m-1776111300,Down,True,Up,0.64,30.0,0.013345188461244106,-0.64,False,0.000
btc-updown-5m-1776111600,Down,True,Up,0.58,30.0,0.019851528108119965,-0.58,False,0.000
btc-updown-5m-1776111900,Up,True,Up,0.66,30.0,0.009245599620044231,0.33999999999999997,True,0.000
btc-updown-5m-1776112200,Up,True,Up,0.55,30.0,0.016997080296278,0.44999999999999996,True,0.000
btc-updown-5m-1776112500,Down,True,Up,0.4,30.0,0.038457389920949936,-0.4,False,0.000
btc-updown-5m-1776112800,Up,True,Up,0.62,31.0,0.009245599620044231,0.38,True,0.000
btc-updown-5m-1776113100,Down,True,Up,0.49,30.0,0.007640655618160963,-0.49,False,0.000
btc-updown-5m-1776113400,Down,True,Up,0.24,30.0,0.04410720616579056,-0.24,False,0.000
btc-updown-5m-1776113700,Up,True,Up,0.67,35.0,0.009245599620044231,0.32999999999999996,True,0.000
btc-updown-5m-1776114000,Down,True,Up,0.52,30.0,0.02136518619954586,-0.52,False,0.000
btc-updown-5m-1776114300,Up,True,Down,0.55,30.0,0.004939846694469452,-0.55,False,0.000
btc-updown-5m-1776114600,Up,True,Up,0.62,30.0,0.013345188461244106,0.38,True,0.000
btc-updown-5m-1776114900,Down,True,Up,0.72,30.0,0.036291223019361496,-0.72,False,0.000
btc-updown-5m-1776115200,Up,True,Up,0.45,38.0,0.0009707666467875242,0.55,True,0.000
btc-updown-5m-1776115500,Down,True,Up,0.41,30.0,0.01660960353910923,-0.41,False,0.000
btc-updown-5m-1776115800,Up,True,Up,0.67,30.0,0.023691369220614433,0.32999999999999996,True,0.000
btc-updown-5m-1776064200,Down,True,Up,0.59,30.0,0.01613703928887844,-0.59,False,0.005
btc-updown-5m-1776064500,Down,True,Down,0.51,30.0,0.027225472033023834,0.49,True,0.005
btc-updown-5m-1776064800,Down,True,Up,0.18,30.0,0.04077336937189102,-0.18,False,0.005
btc-updown-5m-1776065100,Up,True,Down,0.39,34.0,0.015922755002975464,-0.39,False,0.005
btc-updown-5m-1776065400,Down,True,Up,0.7,30.0,0.021892124786973,-0.7,False,0.005
btc-updown-5m-1776065700,Up,True,Up,0.38,30.0,0.01660960353910923,0.62,True,0.005
btc-updown-5m-1776066000,Down,True,Up,0.46,30.0,0.039317429065704346,-0.46,False,0.005
btc-updown-5m-1776066300,Up,True,Up,0.6,30.0,0.017987482249736786,0.4,True,0.005
btc-updown-5m-1776066600,Down,True,Down,0.43,30.0,0.015922755002975464,0.5700000000000001,True,0.005
btc-updown-5m-1776066900,Up,True,Down,0.47,30.0,0.012042640708386898,-0.47,False,0.005
btc-updown-5m-1776067200,Up,True,Up,0.37,30.0,0.008532630279660225,0.63,True,0.005
btc-updown-5m-1776067500,Down,True,Up,0.47,31.0,0.02091297134757042,-0.47,False,0.005
btc-updown-5m-1776067800,Down,True,Down,0.51,31.0,0.013607637956738472,0.49,True,0.005
btc-updown-5m-1776068100,Down,True,Up,0.51,30.0,0.006098552141338587,-0.51,False,0.005
btc-updown-5m-1776068400,Up,True,Up,0.57,32.0,0.019169308245182037,0.43000000000000005,True,0.005
btc-updown-5m-1776068700,Up,True,Up,0.78,30.0,0.041525259613990784,0.21999999999999997,True,0.005
btc-updown-5m-1776069000,Down,True,Up,0.27,30.0,0.039198994636535645,-0.27,False,0.005
btc-updown-5m-1776069300,Down,True,Down,0.47,30.0,0.013395072892308235,0.53,True,0.005
btc-updown-5m-1776069600,Down,True,Down,0.37,35.0,0.009330438449978828,0.63,True,0.005
btc-updown-5m-1776069900,Up,True,Down,0.45,30.0,0.01312505267560482,-0.45,False,0.005
btc-updown-5m-1776070200,Up,True,Down,0.53,30.0,0.005368052050471306,-0.53,False,0.005
btc-updown-5m-1776070500,Up,True,Up,0.67,30.0,0.020928939804434776,0.32999999999999996,True,0.005
btc-updown-5m-1776070800,Up,True,Up,0.84,30.0,0.04085725545883179,0.16000000000000003,True,0.005
btc-updown-5m-1776071100,Down,True,Up,0.71,30.0,0.009245599620044231,-0.71,False,0.005
