slug,open_epoch,close_epoch,btc_open,btc_close,winner,entry_made,entry_elapsed_sec,entry_side,entry_price,entry_shares,entry_prob_up,entry_confidence,correct,pnl,recorded_at
btc-updown-5m-1776577200,1776577200,1776577500,75660.97,75627.54,down,true,179.604777097702,down,0.91,10,0.0898876413702965,0.910112358629704,true,0.9,2026-04-19 05:40:00.444836+00
btc-updown-5m-1776577500,1776577500,1776577800,75627.54,75625.69,down,false,,,,,,,,0,2026-04-19 05:45:00.473802+00
btc-updown-5m-1776577800,1776577800,1776578100,75625.74,75584.05,down,true,123.000895261765,down,0.91,10,0.0496894419193268,0.950310558080673,true,0.9,2026-04-19 05:50:00.457366+00
btc-updown-5m-1776578400,1776578400,1776578700,75576.17,75501.02,down,true,88.5023968219757,down,0.9,10,0.0898876413702965,0.910112358629704,true,1,2026-04-19 06:00:00.316349+00
btc-updown-5m-1776578700,1776578700,1776579000,75489.06,75462.56,down,true,125.133691310883,up,0.94,10,0.933333337306976,0.933333337306976,false,-9.4,2026-04-19 06:05:00.282189+00
btc-updown-5m-1776579000,1776579000,1776579300,75464.79,75426,down,false,,,,,,,,0,2026-04-19 06:10:00.362196+00
btc-updown-5m-1776579300,1776579300,1776579600,75425.68,75398.14,down,true,205.50291466713,down,0.91,10,0.0898876413702965,0.910112358629704,true,0.9,2026-04-19 06:15:00.378322+00
btc-updown-5m-1776579600,1776579600,1776579900,75398.14,75460.58,up,true,76.8333840370178,up,0.9,10,0.940850257873535,0.940850257873535,true,1,2026-04-19 06:20:00.323834+00
btc-updown-5m-1776579900,1776579900,1776580200,75463.87,75437.13,down,false,,,,,,,,0,2026-04-19 06:25:00.284374+00
btc-updown-5m-1776580200,1776580200,1776580500,75436.95,75489.33,up,true,209.690644264221,up,0.95,10,0.984848499298096,0.984848499298096,true,0.5,2026-04-19 06:30:00.298281+00
btc-updown-5m-1776580500,1776580500,1776580800,75488.6,75479.1,down,false,,,,,,,,0,2026-04-19 06:35:00.38686+00
btc-updown-5m-1776580800,1776580800,1776581100,75479.1,75454.17,down,false,,,,,,,,0,2026-04-19 06:40:00.316661+00
btc-updown-5m-1776581100,1776581100,1776581400,75454.17,75438.8,down,true,233.467138290405,down,0.89,10,0.0898876413702965,0.910112358629704,true,1.1,2026-04-19 06:45:00.272902+00
btc-updown-5m-1776581400,1776581400,1776581700,75438.8,75428.88,down,false,,,,,,,,0,2026-04-19 06:50:00.307962+00
btc-updown-5m-1776581700,1776581700,1776582000,75429.18,75418.95,down,false,,,,,,,,0,2026-04-19 06:55:00.29303+00
btc-updown-5m-1776582000,1776582000,1776582300,75418.95,75390.3,down,true,198.659980297089,down,0.81,10,0.0898876413702965,0.910112358629704,true,1.9,2026-04-19 07:00:00.382357+00
btc-updown-5m-1776582300,1776582300,1776582600,75368.49,75266.33,down,true,110.176324605942,down,0.9,10,0.0898876413702965,0.910112358629704,true,1,2026-04-19 07:05:00.316393+00
btc-updown-5m-1776582600,1776582600,1776582900,75259.67,75266.55,up,true,182.813351869583,up,0.93,10,0.940850257873535,0.940850257873535,true,0.7,2026-04-19 07:10:00.307052+00
btc-updown-5m-1776582900,1776582900,1776583200,75266.55,75142.9,down,true,162.014853954315,down,0.91,10,0.0496894419193268,0.950310558080673,true,0.9,2026-04-19 07:15:00.298548+00
btc-updown-5m-1776583200,1776583200,1776583500,75151.96,75029.1,down,true,124.76068854332,down,0.91,10,0.0599999986588955,0.940000001341105,true,0.9,2026-04-19 07:20:00.334681+00
btc-updown-5m-1776583500,1776583500,1776583800,75029.1,75013.94,down,false,,,,,,,,0,2026-04-19 07:25:00.326101+00
btc-updown-5m-1776583800,1776583800,1776584100,75013.97,75093.28,up,true,83.890468120575,up,0.84,10,0.940850257873535,0.940850257873535,true,1.6,2026-04-19 07:30:00.328343+00
btc-updown-5m-1776584100,1776584100,1776584400,75092.75,75085.12,down,false,,,,,,,,0,2026-04-19 07:35:00.376097+00
btc-updown-5m-1776584400,1776584400,1776584700,75080.44,75216.61,up,true,68.7259755134583,up,0.87,10,0.940850257873535,0.940850257873535,true,1.3,2026-04-19 07:40:00.286355+00
btc-updown-5m-1776584700,1776584700,1776585000,75216.61,75200.41,down,false,,,,,,,,0,2026-04-19 07:45:00.37174+00
btc-updown-5m-1776585000,1776585000,1776585300,75200.41,75263.58,up,true,136.433651685715,up,0.93,10,0.940850257873535,0.940850257873535,true,0.7,2026-04-19 07:50:00.370287+00
btc-updown-5m-1776585300,1776585300,1776585600,75265.26,75280.8,up,true,76.2053043842316,up,0.86,10,0.933333337306976,0.933333337306976,true,1.4,2026-04-19 07:55:00.295352+00
btc-updown-5m-1776585600,1776585600,1776585900,75282.54,75222.24,down,true,232.766598701477,down,0.93,10,0.0898876413702965,0.910112358629704,true,0.7,2026-04-19 08:00:00.307136+00
btc-updown-5m-1776585900,1776585900,1776586200,75222.24,75237.69,up,true,219.287242412567,up,0.93,10,0.940850257873535,0.940850257873535,true,0.7,2026-04-19 08:05:00.331488+00
btc-updown-5m-1776586200,1776586200,1776586500,75235.94,75292.23,up,true,92.6660697460175,up,0.93,10,0.984848499298096,0.984848499298096,true,0.7,2026-04-19 08:10:00.298343+00
btc-updown-5m-1776586500,1776586500,1776586800,75292.23,75269.68,down,true,224.236211776733,down,0.91,10,0.0898876413702965,0.910112358629704,true,0.9,2026-04-19 08:15:00.322413+00
btc-updown-5m-1776586800,1776586800,1776587100,75268.75,75235.51,down,true,163.200603246689,down,0.86,10,0.0898876413702965,0.910112358629704,true,1.4,2026-04-19 08:20:00.358765+00
btc-updown-5m-1776587100,1776587100,1776587400,75235.48,75184.09,down,true,238.942593812943,down,0.9,10,0.0898876413702965,0.910112358629704,true,1,2026-04-19 08:25:00.309071+00
btc-updown-5m-1776587400,1776587400,1776587700,75170.09,75162.69,down,true,93.5551311969757,down,0.89,10,0.0898876413702965,0.910112358629704,true,1.1,2026-04-19 08:30:00.282771+00
btc-updown-5m-1776587700,1776587700,1776588000,75161.94,75237.73,up,true,83.4971458911896,up,0.88,10,0.93478262424469,0.93478262424469,true,1.2,2026-04-19 08:35:00.323402+00
btc-updown-5m-1776588000,1776588000,1776588300,75237.35,75255.92,up,false,,,,,,,,0,2026-04-19 08:40:00.302668+00
btc-updown-5m-1776588300,1776588300,1776588600,75254.89,75274.97,up,false,,,,,,,,0,2026-04-19 08:45:00.3831+00
btc-updown-5m-1776588600,1776588600,1776588900,75274.97,75290.25,up,false,,,,,,,,0,2026-04-19 08:50:00.307473+00
btc-updown-5m-1776588900,1776588900,1776589200,75285.65,75279.52,down,false,,,,,,,,0,2026-04-19 08:55:00.294595+00
btc-updown-5m-1776589200,1776589200,1776589500,75281.42,75248.82,down,true,230.120038032532,down,0.88,10,0.0898876413702965,0.910112358629704,true,1.2,2026-04-19 09:00:00.299767+00
btc-updown-5m-1776589500,1776589500,1776589800,75248.82,75239.59,down,false,,,,,,,,0,2026-04-19 09:05:00.308719+00
btc-updown-5m-1776589800,1776589800,1776590100,75224.11,75201.46,down,true,202.070831537247,down,0.86,10,0.0898876413702965,0.910112358629704,true,1.4,2026-04-19 09:10:00.432578+00
btc-updown-5m-1776590100,1776590100,1776590400,75201.46,75160.79,down,true,172.657262086868,down,0.86,10,0.0898876413702965,0.910112358629704,true,1.4,2026-04-19 09:15:00.365786+00
btc-updown-5m-1776590400,1776590400,1776590700,75161.41,75072.79,down,true,123.516512155533,down,0.94,10,0.0203735139220953,0.979626486077905,true,0.6,2026-04-19 09:20:00.306784+00
btc-updown-5m-1776590700,1776590700,1776591000,75072.79,75116.93,up,true,194.582078695297,up,0.92,10,0.933333337306976,0.933333337306976,true,0.8,2026-04-19 09:25:00.325225+00
btc-updown-5m-1776591000,1776591000,1776591300,75116.93,75137.43,up,true,172.467131137848,up,0.94,10,0.940850257873535,0.940850257873535,true,0.6,2026-04-19 09:30:00.353568+00
btc-updown-5m-1776591300,1776591300,1776591600,75137.05,75084.71,down,true,214.162067174911,down,0.88,10,0.0898876413702965,0.910112358629704,true,1.2,2026-04-19 09:35:00.367388+00
btc-updown-5m-1776591600,1776591600,1776591900,75084.71,75088.9,up,true,188.978799581528,up,0.94,10,0.933333337306976,0.933333337306976,true,0.6,2026-04-19 09:40:00.314057+00
btc-updown-5m-1776591900,1776591900,1776592200,75089.63,75025.49,down,true,178.520103216171,down,0.91,10,0.0898876413702965,0.910112358629704,true,0.9,2026-04-19 09:45:00.338574+00
btc-updown-5m-1776592200,1776592200,1776592500,75025.49,75058.11,up,false,,,,,,,,0,2026-04-19 09:50:00.189802+00
btc-updown-5m-1776592500,1776592500,1776592800,75053.56,75018.36,down,true,116.099241018295,down,0.85,10,0.0599999986588955,0.940000001341105,true,1.5,2026-04-19 09:55:00.37712+00
btc-updown-5m-1776592800,1776592800,1776593100,75042.27,75048.18,up,true,63.4580919742584,down,0.89,10,0.0898876413702965,0.910112358629704,false,-8.9,2026-04-19 10:00:00.301124+00
btc-updown-5m-1776593100,1776593100,1776593400,75071.84,75030.37,down,true,158.001770973206,down,0.86,10,0.0898876413702965,0.910112358629704,true,1.4,2026-04-19 10:05:00.296723+00
