timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price
1775853629.97,29.97,0.63,0.64,0.36,0.37,0.01,0.01,73121.69
1775853630.378,30.378,0.63,0.64,0.36,0.37,0.01,0.01,73121.69
1775853630.794,30.794,0.63,0.64,0.36,0.38,0.01,0.02,73121.69
1775853631.162,31.162,0.63,0.64,0.36,0.37,0.01,0.01,73121.69
1775853631.52,31.52,0.63,0.64,0.36,0.37,0.01,0.01,73122.96
1775853631.961,31.961,0.63,0.64,0.36,0.37,0.01,0.01,73122.96
1775853632.368,32.368,0.64,0.65,0.35,0.37,0.01,0.02,73122.96
1775853632.72,32.72,0.64,0.65,0.35,0.36,0.01,0.01,73122.96
1775853633.172,33.172,0.64,0.65,0.35,0.36,0.01,0.01,73122.96
1775853633.627,33.627,0.64,0.65,0.35,0.36,0.01,0.01,73121.67
1775853633.987,33.987,0.63,0.65,0.35,0.36,0.02,0.01,73121.67
1775853634.329,34.329,0.63,0.64,0.36,0.37,0.01,0.01,73121.67
1775853634.707,34.707,0.63,0.64,0.36,0.37,0.01,0.01,73121.67
1775853635.076,35.076,0.63,0.64,0.36,0.37,0.01,0.01,73121.76
1775853635.746,35.746,0.63,0.64,0.36,0.37,0.01,0.01,73121.76
1775853636.105,36.105,0.59,0.6,0.4,0.41,0.01,0.01,73121.76
1775853636.483,36.483,0.59,0.6,0.4,0.41,0.01,0.01,73123.28
1775853636.819,36.819,0.59,0.6,0.4,0.41,0.01,0.01,73123.28
1775853637.282,37.282,0.59,0.6,0.4,0.41,0.01,0.01,73123.28
1775853637.667,37.667,0.58,0.6,0.4,0.41,0.02,0.01,73123.28
1775853638.116,38.116,0.58,0.59,0.41,0.42,0.01,0.01,73123.28
1775853638.474,38.474,0.59,0.6,0.4,0.41,0.01,0.01,73119.38
1775853639.334,39.334,0.6,0.61,0.39,0.4,0.01,0.01,73119.38
1775853639.84,39.84,0.6,0.61,0.39,0.4,0.01,0.01,73118.87
1775853640.299,40.299,0.6,0.62,0.39,0.4,0.02,0.01,73118.87
1775853641.214,41.214,0.61,0.62,0.38,0.39,0.01,0.01,73119.83
1775853641.628,41.628,0.61,0.62,0.38,0.39,0.01,0.01,73119.83
1775853642.002,42.002,0.61,0.62,0.38,0.39,0.01,0.01,73119.83
1775853642.401,42.401,0.61,0.62,0.38,0.39,0.01,0.01,73120.42
1775853643.109,43.109,0.6,0.61,0.38,0.4,0.01,0.02,73120.42
1775853643.644,43.644,0.6,0.61,0.39,0.4,0.01,0.01,73120.42
1775853644.126,44.126,0.58,0.59,0.41,0.42,0.01,0.01,73120.42
1775853644.554,44.554,0.58,0.59,0.41,0.42,0.01,0.01,73120.42
1775853644.894,44.894,0.58,0.59,0.41,0.42,0.01,0.01,73120.7
1775853645.245,45.245,0.58,0.59,0.41,0.42,0.01,0.01,73120.7
1775853645.6,45.6,0.57,0.58,0.42,0.43,0.01,0.01,73120.7
1775853645.955,45.955,0.56,0.58,0.42,0.43,0.02,0.01,73120.7
1775853646.392,46.392,0.56,0.57,0.43,0.44,0.01,0.01,73120.7
1775853646.738,46.738,0.56,0.57,0.43,0.44,0.01,0.01,73120.69
1775853647.29,47.29,0.56,0.57,0.43,0.44,0.01,0.01,73120.69
1775853647.631,47.631,0.56,0.57,0.43,0.44,0.01,0.01,73120.69
1775853648.11,48.11,0.56,0.57,0.43,0.44,0.01,0.01,73120.69
1775853648.557,48.557,0.57,0.58,0.42,0.43,0.01,0.01,73120.69
1775853649.263,49.263,0.58,0.59,0.41,0.42,0.01,0.01,73120.58
1775853649.638,49.638,0.58,0.59,0.41,0.42,0.01,0.01,73120.58
1775853650.052,50.052,0.58,0.6,0.41,0.42,0.02,0.01,73120.58
1775853650.391,50.391,0.6,0.62,0.39,0.4,0.02,0.01,73120.58
1775853650.801,50.801,0.63,0.64,0.36,0.37,0.01,0.01,73120.75
1775853651.17,51.17,0.63,0.64,0.36,0.37,0.01,0.01,73120.75
1775853651.525,51.525,0.63,0.64,0.36,0.37,0.01,0.01,73121.28
1775853651.864,51.864,0.64,0.65,0.36,0.37,0.01,0.01,73121.28
1775853652.214,52.214,0.65,0.66,0.34,0.36,0.01,0.02,73123.22
1775853652.565,52.565,0.65,0.66,0.34,0.35,0.01,0.01,73123.22
1775853652.92,52.92,0.65,0.66,0.34,0.35,0.01,0.01,73123.22
1775853653.349,53.349,0.65,0.66,0.34,0.35,0.01,0.01,73129.57
1775853653.805,53.805,0.65,0.66,0.34,0.35,0.01,0.01,73129.57
1775853654.139,54.139,0.65,0.66,0.34,0.35,0.01,0.01,73129.57
1775853654.979,54.979,0.65,0.69,0.34,0.35,0.04,0.01,73130.38
1775853655.319,55.319,0.68,0.69,0.31,0.32,0.01,0.01,73130.38
1775853655.897,55.897,0.68,0.69,0.31,0.32,0.01,0.01,73130.07
1775853656.28,56.28,0.68,0.7,0.31,0.32,0.02,0.01,73130.07
1775853656.654,56.654,0.69,0.7,0.3,0.31,0.01,0.01,73130.07
1775853657.054,57.054,0.69,0.7,0.3,0.31,0.01,0.01,73130.07
1775853657.618,57.618,0.69,0.7,0.3,0.31,0.01,0.01,73130.07
1775853658.061,58.061,0.69,0.71,0.3,0.31,0.02,0.01,73130.07
1775853658.443,58.443,0.72,0.73,0.27,0.28,0.01,0.01,73132.7
1775853658.787,58.787,0.72,0.73,0.27,0.28,0.01,0.01,73132.7
1775853659.227,59.227,0.73,0.74,0.26,0.27,0.01,0.01,73132.7
1775853659.721,59.721,0.73,0.74,0.26,0.27,0.01,0.01,73132.7
1775853660.196,60.196,0.73,0.74,0.26,0.27,0.01,0.01,73136.62
1775853660.544,60.544,0.73,0.74,0.26,0.27,0.01,0.01,73136.62
1775853660.881,60.881,0.73,0.74,0.26,0.27,0.01,0.01,73140.62
1775853661.348,61.348,0.74,0.75,0.25,0.27,0.01,0.02,73140.62
1775853661.861,61.861,0.72,0.73,0.27,0.28,0.01,0.01,73141.96
1775853662.341,62.341,0.71,0.72,0.27,0.29,0.01,0.02,73141.97
1775853662.763,62.763,0.71,0.72,0.28,0.29,0.01,0.01,73141.97
1775853663.098,63.098,0.71,0.72,0.28,0.29,0.01,0.01,73141.97
1775853663.484,63.484,0.69,0.7,0.3,0.31,0.01,0.01,73141.97
1775853663.934,63.934,0.69,0.7,0.3,0.31,0.01,0.01,73142.06
1775853664.432,64.432,0.69,0.7,0.3,0.31,0.01,0.01,73142.06
1775853664.792,64.792,0.69,0.7,0.3,0.31,0.01,0.01,73141.95
1775853665.149,65.149,0.69,0.73,0.3,0.31,0.04,0.01,73141.95
1775853665.521,65.521,0.72,0.75,0.25,0.28,0.03,0.03,73141.95
1775853665.865,65.865,0.74,0.75,0.25,0.26,0.01,0.01,73141.95
1775853666.305,66.305,0.74,0.75,0.25,0.26,0.01,0.01,73142.09
1775853666.652,66.652,0.71,0.73,0.27,0.29,0.02,0.02,73142.09
